Borough,Month,PercentAcceptablyCleanStreets,PercentFilthyStreets,PercentAcceptablyCleanSidewalks,PercentFilthySidewalks,ChangeInPercentCleanStreetsYearly,ChangeInPercentCleanSidewalksYearly,ThreeMonthAveragePercentCleanStreets,ThreeMonthAveragePercentCleanSidewalks,ChangeIn3MonthAverageCleanStreets,ChangeIn3MonthAverageCleanSidewalks
Brooklyn,	202111,100.0,0.0,93.8,0.0,0.0,0.0,81.9,78.1,6.9,-6.3
Queens," 	202111",90.5,0.0,95.7,0.0,25.7,30.2,70.1,78.4,20.3,11.2
