BOROUGH,DISTRICT,SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALKS_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
,,MN104,,,,,,,,,,,,,,
,,MN111,,,,,,,,,,,,,,
,,MN112,,,,,,,,,,,,,,
,,MN113,,,,,,,,,,,,,,
,,MN121,,,,,,,,,,,,,,
,,MN122,,,,,,,,,,,,,,
,,MN123,,,,,,,,,,,,,,
,,MN124,,,,,,,,,,,,,,
,,QE071,,,,,,,,,,,,,,
,,QE072,,,,,,,,,,,,,,
,,QE073,,,,,,,,,,,,,,
,,QE074,,,,,,,,,,,,,,
,,QE075,,,,,,,,,,,,,,
,,QE076,,,,,,,,,,,,,,
,,QE077,,,,,,,,,,,,,,
,,QE078,,,,,,,,,,,,,,
,,QE081,,,,,,,,,,,,,,
,,QE082,,,,,,,,,,,,,,
,,QE083,,,,,,,,,,,,,,
,,QE084,,,,,,,,,,,,,,
,,QE101,,,,,,,,,,,,,,
,,QE102,,,,,,,,,,,,,,
,,QE103,,,,,,,,,,,,,,
,,QE104,,,,,,,,,,,,,,
,,QE111,,,,,,,,,,,,,,
,,QE112,,,,,,,,,,,,,,
,,QE113,,,,,,,,,,,,,,
,,QE114,,,,,,,,,,,,,,
,,QE115,,,,,,,,,,,,,,
,,QE116,,,,,,,,,,,,,,
,,QE121,,,,,,,,,,,,,,
,,QE122,,,,,,,,,,,,,,
,,QE123,,,,,,,,,,,,,,
,,QE124,,,,,,,,,,,,,,
,,QE125,,,,,,,,,,,,,,
Queens,QE12,QE126,202111.0,,,,,,,,,,,,,
,,QE127,,,,,,,,,,,,,,
,,QE131,,,,,,,,,,,,,,
,,QE132,,,,,,,,,,,,,,
,,QE133,,,,,,,,,,,,,,
,,QE134,,,,,,,,,,,,,,
,,QE135,,,,,,,,,,,,,,
,,QE136,,,,,,,,,,,,,,
,,QE137,,,,,,,,,,,,,,
,,QE138,,,,,,,,,,,,,,
,,QE141,,,,,,,,,,,,,,
,,QE142,,,,,,,,,,,,,,
,,QE143,,,,,,,,,,,,,,
,,QW011,,,,,,,,,,,,,,
Queens,QW01,QW012,202111,1.212,13,13,37.294,0,0,1.24,13,12,34.425,0,0,37.294
,,QW013,,,,,,,,,,,,,,
,,QW014,,,,,,,,,,,,,,
,,QW015,,,,,,,,,,,,,,
,,QW016,,,,,,,,,,,,,,
,,QW021,,,,,,,,,,,,,,
,,QW022,,,,,,,,,,,,,,
,,QW023,,,,,,,,,,,,,,
,,QW031,,,,,,,,,,,,,,
,,QW032,,,,,,,,,,,,,,
,,QW033,,,,,,,,,,,,,,
Queens,QW04,QW041,202111,1.275,14,12,30.517,0,0,1.24,12,12,35.603,0,0,35.603
,,QW042,,,,,,,,,,,,,,
