SECTION,MONTH,STREET_RATING_AVG,STREETS_CNT,STREETS_ACCEPTABLE_CNT,STREETS_ACCEPTABLE_MILES,STREETS_FILTHY_MILES,STREETS_FILTHY_CNT,SIDEWALK_RATING_AVG,SIDEWALKS_CNT,SIDEWALKS_ACCEPTABLE_CNT,SIDEWALKS_ACCEPTABLE_MILES,SIDEWALKS_FILTHY_CNT,SIDEWALKS_FILTHY_MILES,LINEAR_MILES
MN091,,,,,,,,,,,,,,16.5
MN092,,,,,,,,,,,,,,25.901
MN093,,,,,,,,,,,,,,17.097
MN101,,,,,,,,,,,,,,22.808
MN103,,,,,,,,,,,,,,12.58
MN104,,,,,,,,,,,,,,23.361
MN111,,,,,,,,,,,,,,26.99
MN112,,,,,,,,,,,,,,19.131
MN113,,,,,,,,,,,,,,37.153
MN121,,,,,,,,,,,,,,24.766
MN122,,,,,,,,,,,,,,36.559
MN123,,,,,,,,,,,,,,22.821
MN124,,,,,,,,,,,,,,24.658
QE071,,,,,,,,,,,,,,33.915
QE072,,,,,,,,,,,,,,34.709
QE073,,,,,,,,,,,,,,28.982
QE074,,,,,,,,,,,,,,31.63
QE075,,,,,,,,,,,,,,50.711
QE076,,,,,,,,,,,,,,55.088
QE077,,,,,,,,,,,,,,46.071
QE078,,,,,,,,,,,,,,56.277
QE081,,,,,,,,,,,,,,66.597
QE082,,,,,,,,,,,,,,43.851
QE083,,,,,,,,,,,,,,66.756
QE084,,,,,,,,,,,,,,60.038
QE101,,,,,,,,,,,,,,46.619
QE102,,,,,,,,,,,,,,38.668
QE103,,,,,,,,,,,,,,59.521
QE104,,,,,,,,,,,,,,45.888
QE111,,,,,,,,,,,,,,38.87
QE112,,,,,,,,,,,,,,40.338
QE113,,,,,,,,,,,,,,46.172
QE114,,,,,,,,,,,,,,74.393
QE115,,,,,,,,,,,,,,66.472
QE116,,,,,,,,,,,,,,43.323
QE121,,,,,,,,,,,,,,37.484
QE122,,,,,,,,,,,,,,40.305
QE123,,,,,,,,,,,,,,38.43
QE124,,,,,,,,,,,,,,39.385
QE125,,,,,,,,,,,,,,44.415
QE126,,,,,,,,,,,,,,52.445
QE127,,,,,,,,,,,,,,54.686
QE131,,,,,,,,,,,,,,54.725
QE132,,,,,,,,,,,,,,61.543
QE133,,,,,,,,,,,,,,43.942
QE134,,,,,,,,,,,,,,34.109
QE135,,,,,,,,,,,,,,40.147
QE136,,,,,,,,,,,,,,37.834
QE137,,,,,,,,,,,,,,45.062
QE138,,,,,,,,,,,,,,69.819
QE141,,,,,,,,,,,,,,33.696
QE142,,,,,,,,,,,,,,101.041
QE143,,,,,,,,,,,,,,44.327
QW011,,,,,,,,,,,,,,25.404
QW012,202111,1.212,13,13,37.294,0,0,1.24,13,12,34.425,0,0,37.294
QW013,,,,,,,,,,,,,,25.005
QW014,,,,,,,,,,,,,,12.101
QW015,,,,,,,,,,,,,,36.422
QW016,,,,,,,,,,,,,,29.887
QW021,,,,,,,,,,,,,,47.904
QW022,,,,,,,,,,,,,,47.517
QW023,,,,,,,,,,,,,,73.559
QW031,,,,,,,,,,,,,,61.079
QW032,,,,,,,,,,,,,,23.182
QW033,,,,,,,,,,,,,,26.378
QW041,202111,1.275,14,12,30.517,0,0,1.24,12,12,35.603,0,0,35.603
QW042,,,,,,,,,,,,,,23.102
QW043,202111,1.27,20,17,27.663,0,0,1.228,19,18,30.832,0,0,32.545
QW051,,,,,,,,,,,,,,45.089
QW052,,,,,,,,,,,,,,22.448
QW053,,,,,,,,,,,,,,19.403
QW054,,,,,,,,,,,,,,62.942
QW055,,,,,,,,,,,,,,59.674
QW061,,,,,,,,,,,,,,46.727
QW062,,,,,,,,,,,,,,80.677
QW091,,,,,,,,,,,,,,26.284
QW092,,,,,,,,,,,,,,22.442
QW093,,,,,,,,,,,,,,27.981
QW094,,,,,,,,,,,,,,46.751
SI011,,,,,,,,,,,,,,91.84
SI012,,,,,,,,,,,,,,77.152
SI013,,,,,,,,,,,,,,87.874
SI014,,,,,,,,,,,,,,118.032
SI021,,,,,,,,,,,,,,78.054
SI022,,,,,,,,,,,,,,76.403
SI023,,,,,,,,,,,,,,94.963
SI024,,,,,,,,,,,,,,142.877
SI031,,,,,,,,,,,,,,51.632
SI032,,,,,,,,,,,,,,39.59
SI033,,,,,,,,,,,,,,46.045
SI034,,,,,,,,,,,,,,47.437
SI035,,,,,,,,,,,,,,65.156
SI036,,,,,,,,,,,,,,88.78
SI037,,,,,,,,,,,,,,78.595
SI038,,,,,,,,,,,,,,47.127
